	1500	1510	1520	1530	1540	1550	1560	1570	1580	1590	1600	1610	1620	1630	1640	1650	1660	1670	1680	1690	1700	1710	1720	1730	1740	1750	1760	1770	1780	1790	1800	1810	1820	1830	1840	1850	1860	1870	1880	1890	1900	1910	1920	1930	1940	1950	1960	1970	1980	1990	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100	2110	2120	2130	2140	2150	2160	2170	2180	2190	2200	2210	2220	2230	2240	2250	2260	2270	2280	2290	2300	2310	2320	2330	2340	2350	2360	2370	2380	2390	2400	2410	2420	2430	2440	2450	2460	2470	2480	2490	2500
MgO(l)	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369	0.369
Mg(g)	1.164735883905108e-12	1.6055994136839269e-12	2.2034987234633873e-12	3.0108707109155425e-12	4.0964907748322884e-12	5.550196398524343e-12	7.488868923005214e-12	1.0063979479252293e-11	1.3471072153676081e-11	1.7961637610687736e-11	2.3857925779572177e-11	3.1571359320999964e-11	4.1625343246461717e-11	5.4683423463330625e-11	7.158393175181453e-11	9.33824707771863e-11	1.2140384470461776e-10	1.5730533382952036e-10	2.0315355092892154e-10	2.615175089335e-10	3.3558098079887234e-10	4.2927775056896046e-10	5.474539477295998e-10	6.960623339457501e-10	8.823941818364603e-10	1.11535526005569e-09	1.405793428942866e-09	1.7668864685832792e-09	2.2146000193656764e-09	2.7682269280470425e-09	3.451020874864754e-09	4.290938925239853e-09	5.321509619907174e-09	6.582845407627221e-09	8.122820653669472e-09	9.998439144581495e-09	1.2277417975864166e-08	1.5040017975380938e-08	1.8381154403789798e-08	2.2412825606915777e-08	2.726690159739823e-08	3.309831923841261e-08	4.008873581560301e-08	4.845069833991171e-08	5.8432391949397454e-08	7.032303729845352e-08	8.445901386417375e-08	1.0123079368825877e-07	1.2109077823490995e-07	1.4456213980670555e-07	1.7224877834697446e-07	2.048465144940845e-07	2.431556504647317e-07	2.880950417535769e-07	3.4071783476848115e-07	4.022290383957558e-07	4.740051111289395e-07	5.576157598170205e-07	6.548481613111698e-07	7.677338343292184e-07	8.985784057284568e-07	1.0499945330918384e-06	1.2249382641012975e-06	1.426749132601371e-06	1.6591943115540474e-06	1.9265171642522787e-06	2.233490557199822e-06	2.585475320971428e-06	2.988484269141714e-06	3.4492522099998922e-06	3.975312411245e-06	4.57508000417002e-06	5.25794284097035e-06	6.034360346746566e-06	6.9159709364795045e-06	7.915708596719668e-06	9.047929261929231e-06	1.0328547646303433e-05	1.1775185223459847e-05	1.34073300785764e-05	1.5246509390343812e-05	1.731647533345069e-05	1.9643405226174578e-05	2.225611678199615e-05	2.518629935891462e-05	2.846876213530024e-05	3.2141700176599835e-05	3.624697939299724e-05	4.083044142414325e-05	4.594222952327632e-05	5.1637136549416096e-05	5.797497621273535e-05	6.502097875471433e-05	7.28462122811572e-05	8.152803100253571e-05	9.115055167250837e-05	0.00010180515955154378	0.00011359104525861827	0.00012661577390964877	0.00014099588797677855	0.00015685754533779144
MgO(g)	7.549541505297016e-14	1.0615420930289665e-13	1.485670710704443e-13	2.0697415714102627e-13	2.870492419234537e-13	3.963518783040745e-13	5.449118234805418e-13	7.459813521216214e-13	1.0169998292485528e-12	1.3808256004868331e-12	1.8673032560960947e-12	2.515250079247607e-12	3.374964512355661e-12	4.511382363574117e-12	6.0080339166814e-12	7.97198789283637e-12	1.0540007249226466e-11	1.3886188123632778e-11	1.8231408024831157e-11	2.3854973964397522e-11	3.110893713826407e-11	4.043562970019748e-11	5.238908303751788e-11	6.76611079032615e-11	8.711295716733955e-11	1.118136544784242e-10	1.4308625972248158e-10	1.825635580763173e-10	2.3225490726855455e-10	2.9462626131057093e-10	3.726957127536751e-10	4.70147264166292e-10	5.914659581209907e-10	7.420979690830512e-10	9.286397962005623e-10	1.1590612995787743e-09	1.4429680011349075e-09	1.7919088320272756e-09	2.2197363599002064e-09	2.7430274792739957e-09	3.3815736063506426e-09	4.158950594855442e-09	5.103179892372828e-09	6.247493897584878e-09	7.631220069022374e-09	9.300800087058863e-09	1.1310962295080284e-08	1.3726067755703846e-08	1.662165256671233e-08	2.008619160257963e-08	2.422311159502956e-08	2.9153084454363802e-08	3.501663497693468e-08	4.197710059811009e-08	5.022398464954444e-08	5.997674867991095e-08	7.148909381494025e-08	8.505378588122939e-08	1.010080841143223e-07	1.1973983873060232e-07	1.4169432847971933e-07	1.6738191552490655e-07	1.9738660163729904e-07	2.3237557675160435e-07	2.7310985842838305e-07	3.20456128715876e-07	3.753998833147813e-07	4.390600168345295e-07	5.127049773009465e-07	5.97770632942617e-07	6.958800046568888e-07	8.088650284442588e-07	9.387905235088529e-07	1.0879805536600393e-06	1.259047382119749e-06	1.4549232328452383e-06	1.6788950850223295e-06	1.9346427414663035e-06	2.226280426290619e-06	2.558402182362516e-06	2.936131354755465e-06	3.3651744626298985e-06	3.85187977871353e-06	4.403300952808887e-06	5.0272660335129945e-06	5.732452260587545e-06	6.528467019146512e-06	7.425935366030522e-06	8.436594558381786e-06	9.57339603452076e-06	1.0850615317723177e-05	1.228397033439638e-05	1.3890748659426293e-05	1.5689944223103885e-05	1.7702404035997565e-05	1.9950985510431688e-05	2.246072497978415e-05	2.5259018039663113e-05	2.8375812358088437e-05	3.184381362510601e-05	3.5698705335739735e-05
Mg2(g)	1.2528480506075635e-27	2.357019789602355e-27	4.3952422979191965e-27	8.125164802561161e-27	1.489307469483184e-26	2.7071392048665025e-26	4.8806788465787125e-26	8.728928533013433e-26	1.5488831401349585e-25	2.7272043419762034e-25	4.765634529390884e-25	8.265877958108076e-25	1.4232530606266213e-24	2.4330911646159612e-24	4.130233335658693e-24	6.962836831377413e-24	1.1658627540804499e-23	1.9391486175765583e-23	3.2042681670743984e-23	5.2607921379275415e-23	8.582765014942147e-23	1.3915705432635506e-22	2.2424986438466175e-22	3.592146766096791e-22	5.720260466038462e-22	9.056519034483792e-22	1.425717607706349e-21	2.2318984047636504e-21	3.474762266676291e-21	5.3805380528209845e-21	8.287347498295802e-21	1.269793421041877e-20	1.9356012753211282e-20	2.935626857706928e-20	4.430206528309734e-20	6.653046270251439e-20	9.943175637264041e-20	1.479011329901725e-19	2.1897414644464976e-19	3.2271680620535206e-19	4.734667760861712e-19	6.915566522017885e-19	1.0056963156741754e-18	1.45625255497246e-18	2.0997451910867363e-18	3.014985812532486e-18	4.31142561135283e-18	6.14046249033822e-18	8.710697011463084e-18	1.2308437596333487e-17	1.7325157485151927e-17	2.429412419326644e-17	3.393908770708943e-17	4.723876525135621e-17	6.551194636602594e-17	9.052942197027558e-17	1.2466068875448202e-16	1.7106558626465624e-16	2.339437995401761e-16	3.188586409157448e-16	4.331558760048546e-16	5.865037818107968e-16	7.915873625540829e-16	1.0649979947208013e-15	1.4283700803483984e-15	1.9098289806998986e-15	2.545830088693347e-15	3.3834879833518783e-15	4.483517913919969e-15	5.923940240739699e-15	7.804732927461793e-15	1.0253658930882957e-14	1.3433545779686484e-14	1.7551355427339054e-14	2.286945554817209e-14	2.971959108900212e-14	3.852015973979428e-14	4.9797520128770977e-14	6.421221056115164e-14	8.259113315722045e-14	1.0596696810565974e-13	1.356263309740112e-13	1.731684789936256e-13	2.2057671730196776e-13	2.8030506170347245e-13	3.553831902502148e-13	4.4954327287709164e-13	5.673729190457323e-13	7.144992422049702e-13	8.978099231872646e-13	1.1257181809703426e-12	1.408479749567489e-12	1.7585713379789616e-12	2.19114164306511e-12	2.7245478232913988e-12	3.3809924588364315e-12	4.1872784591566776e-12	5.175702176215529e-12	6.385108189009347e-12	7.862132897545609e-12	9.662668263464534e-12
CaO(l)	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033
Ca(g)	1.312265752089157e-16	1.8715737672030948e-16	2.656320823538526e-16	3.7521833794678233e-16	5.275431504326449e-16	7.383150818295485e-16	1.028664415559277e-15	1.4268928134955638e-15	1.970748163557838e-15	2.7103703045959792e-15	3.7120903564318944e-15	5.063311962604391e-15	6.878758629423849e-15	9.308439591234116e-15	1.2547769686016997e-14	1.6850379442718358e-14	2.25442732939309e-14	3.005214040989499e-14	3.9916798593354854e-14	5.283296216731388e-14	6.968677580161211e-14	9.160485461283886e-14	1.2001492447453026e-13	1.567205742291089e-13	2.0399312355960722e-13	2.6468418817101693e-13	3.4236320065577085e-13	4.414849356273382e-13	5.675930078569676e-13	7.275663806705006e-13	9.299171593366442e-13	1.1851493735232212e-12	1.5061900995672271e-12	1.9089061654850396e-12	2.4127218504768665e-12	3.04135547045103e-12	3.8236955694935e-12	4.7948406555291456e-12	5.997330071802826e-12	7.482597733465546e-12	9.312685133997279e-12	1.1562255297510524e-11	1.4320955282979613e-11	1.7696181502979288e-11	2.181630957564335e-11	2.6834458762769287e-11	3.293287034342956e-11	4.032798962109511e-11	4.9276352759079935e-11	6.008139238630399e-11	7.310129002138944e-11	8.875801894293694e-11	1.0754773830901195e-10	1.3005271822751531e-10	1.569549962361812e-10	1.8905198840795697e-10	2.27274303202891e-10	2.7270603339647047e-10	3.2660783108814366e-10	3.9044310310107717e-10	4.659076991994764e-10	5.549635036539398e-10	6.598763819657363e-10	7.832589792095207e-10	9.28118914670412e-10	1.0979129694373712e-09	1.2966079195808334e-09	1.528748727699335e-09	1.7995348701859712e-09	2.1149056467599786e-09	2.48163539285588e-09	2.9074395945884102e-09	3.4010929904414144e-09	3.97256083379757e-09	4.633144586154725e-09	5.3956434126019656e-09	6.274532959078747e-09	7.28616300533876e-09	8.448975708620106e-09	9.783746280998745e-09	1.1313848078495595e-08	1.3065544222435191e-08	1.5068308023520932e-08	1.7355174636800533e-08	1.9963126541350094e-08	2.293351561227963e-08	2.6312524734751285e-08	3.0151672100263746e-08	3.450836152466195e-08	3.944648233531455e-08	4.503706259182323e-08	5.135897963059105e-08	5.8499732158705574e-08	6.655627836698757e-08	7.563594478579483e-08	8.58574108703157e-08	9.735177457473282e-08	1.1026370445675653e-07	1.2475268414569345e-07	1.409943553084144e-07	1.5918196555834322e-07
CaO(g)	1.689256971445956e-16	2.3834348767950353e-16	3.3469983611396895e-16	4.678352499220946e-16	6.5096128215181405e-16	9.017386361133549e-16	1.2436754010748626e-15	1.7079330796875797e-15	2.335650011226138e-15	3.180918701574174e-15	4.314586439408922e-15	5.8290885806258385e-15	7.844572391591677e-15	1.0516627955866838e-14	1.4046013226948409e-14	1.869084500284174e-14	2.4781828889258966e-14	3.2741222061400176e-14	4.310636610119324e-14	5.6558797114836485e-14	7.396014098048391e-14	9.639623776910235e-14	1.2523121659037408e-13	1.6217356650869225e-13	2.0935662769108478e-13	2.694363673723369e-13	3.457098162576117e-13	4.422581323368181e-13	5.641189415547963e-13	7.17493390340531e-13	9.099942468927488e-13	1.150942420958708e-12	1.451720451706675e-12	1.8261928578230065e-12	2.2912047724809464e-12	2.867172019421059e-12	3.5787777480338342e-12	4.455792960014075e-12	5.5340407549354965e-12	6.856526926265412e-12	8.474762684490845e-12	1.0450308804207006e-11	1.2856574423767981e-11	1.5780908108620634e-11	1.9327023664656053e-11	2.361780860057527e-11	2.87985691360393e-11	3.5040772285967074e-11	4.2546352874478346e-11	5.155266140164872e-11	6.233813756257548e-11	7.522880396471318e-11	9.060568527289958e-11	1.0891326970209094e-10	1.306691425493569e-10	1.564749353860936e-10	1.870287496996428e-10	2.231392302643808e-10	2.6574148142381284e-10	3.159150388684709e-10	3.749041304940611e-10	4.4414048261875833e-10	5.252689523296885e-10	6.201762931212055e-10	7.310233893911036e-10	8.60281325886254e-10	1.0107716909533597e-09	1.1857115475705223e-09	1.388763543734936e-09	1.6240916739850424e-09	1.896423246771245e-09	2.211117658189514e-09	2.574242621389988e-09	2.9926585529091022e-09	3.4741118723844527e-09	4.027338030746444e-09	4.662175144181295e-09	5.389689177077927e-09	6.222311686960463e-09	7.17399121822208e-09	8.260359509473702e-09	9.498913761665733e-09	1.0909216300995952e-08	1.2513113062148944e-08	1.4334972413797171e-08	1.640194594969802e-08	1.8744252975334603e-08	2.1395490532037082e-08	2.43929709180875e-08	2.7778088789633767e-08	3.159672005351114e-08	3.589965489950212e-08	4.0743067461347686e-08	4.618902474417004e-08	5.230603761110361e-08	5.916965678404042e-08	6.686311698277626e-08	7.547803250364312e-08	8.511514772322576e-08	9.588514620525607e-08	1.0790952228943398e-07
Ca2(g)	3.3349768202543627e-35	6.714215007881394e-35	1.338736021016151e-34	2.644077601527401e-34	5.173841611249848e-34	1.0032053302968893e-33	1.9278817800093465e-33	3.672476325228805e-33	6.935822276197462e-33	1.298876190481333e-32	2.412332444267938e-32	4.4439915279277196e-32	8.121595736992455e-32	1.472669943663598e-31	2.6498889461148458e-31	4.7322634020519855e-31	8.388580434836057e-31	1.4761969314739116e-30	2.5792471285425042e-30	4.4749655133270854e-30	7.710605292666068e-30	1.319599097715332e-29	2.2433746721594535e-29	3.788944209641855e-29	6.35829091746066e-29	1.0602699360089541e-28	1.7570874365538405e-28	2.8941239938362234e-28	4.738410390042097e-28	7.71230052181296e-28	1.247998165606961e-27	2.008004785963687e-27	3.212754125448249e-27	5.1120190042505074e-27	8.090010184791272e-27	1.2734617263767308e-26	1.994071442939885e-26	3.1063507965177474e-26	4.814502984160881e-26	7.42470256885096e-26	1.139378533491497e-25	1.740012630651229e-25	2.6446335188222936e-25	4.0007368418863013e-25	6.024317740030337e-25	9.030265496223104e-25	1.3475617667948845e-24	2.002084927763679e-24	2.9616348888455676e-24	4.362392336915408e-24	6.398681975974872e-24	9.346667636623875e-24	1.3597243720556655e-23	1.970151355637334e-23	2.843342928256009e-23	4.087574222698091e-23	5.853749838835713e-23	8.351406659243605e-23	1.1870430778540313e-22	1.6810423969468985e-22	2.3720274976748015e-22	3.3351297826343755e-22	4.672834619260576e-22	6.5244666584257965e-22	9.078799799586946e-22	1.2590766761655247e-21	1.7403530379469237e-21	2.39775454273609e-21	3.2928706580416673e-21	4.507827063581702e-21	6.151799098235938e-21	8.369484858640547e-21	1.1352095452825628e-20	1.5351569337467697e-20	2.0698904663233992e-20	2.782773693674384e-20	3.7304579817414426e-20	4.986750754565843e-20	6.647550414966573e-20	8.837125630462992e-20	1.1716084655780632e-19	1.549146393006788e-19	2.0429467663457842e-19	2.687151549831991e-19	3.525440835721169e-19	4.61356089504426e-19	6.022485986855861e-19	7.842363675347017e-19	1.0187426623684905e-18	1.3202093940535964e-18	1.7068533477992904e-18	2.201601458304868e-18	2.8332450529556086e-18	3.6378613364974895e-18	4.660560372922178e-18	5.9576277305382365e-18	7.599147140609845e-18	9.672204382263177e-18	1.228479361674339e-17	1.5570571099137123e-17	1.969462922988274e-17
Al2O3(l)	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046
