Species		A			B			C			D			E				dfH298			d		b		c		e		x		y	Reference		T_range
O			18.21		3.296		-1.0262		0.2027		-0.01724		29.97			0		1		1		0.5		0		1	LAM1987			1000-3000
O2			22.987		4.5769		-1.2101		0.2154		-0.01686		0				0		1		1		1		0		2	LAM1987			1000-3000
MgO(l)		-0.804		5.1067		-0.3615		0			 0				-72.34			1		1		1		0		1		1	LAM1987			3100-3500
Mg(g)		16.939		2.7458		-0.6073		0.06217		 0				17.7			1		1		1		-0.5	1		0	LAM1987			1000-3000
MgO(g)		23.16		5.9			-1.175		0.1043		 0				7				1		1		1		0		1		1	LAM1987			1000-3000
Mg2(g)		28.571		2.357		0.784		-0.597		 0.0973			34.7			2		1		1		-1		2		0	LAM1987			298-2900
CaO(l)		0.924		5.922		-0.7316		0.0436		 0				-76.384			1		1		1		0		1		1	LAM1987			2900-3800
Ca(g)		17.84		2.537		-0.5155		0.0494		 0				21.4			1		1		1		-0.5	1		0	LAM1987			1500-3000
CaO(g)		24.83		4.579		-0.9895		0.1144		 0				5.3				1		1		1		0		1		1	LAM1987			1000-3000
Ca2(g)		29.904		3.031		0.551		-0.5714		 0.098			41.6			2		1		1		-1		2		0	LAM1987			298-2900
Al2O3(l)	232.345		-336.622	193.672		-48.1032	 4.4461			-201.54			1		2		3		0		2		3	LAM1987			2327-3000
Al(g)		18.649		3.2317		-0.9905		0.193		-0.0162			39.6			0.5		2		3		-0.75	1		0	LAM1987			1000-3000
AlO(g)		24.765		4.254		-0.8087		0.0793		 0				8.1				0.5		2		3		-0.25	1		1	LAM1987			1000-3000
AlO2(g)		29.114		3.28		2.4785		-1.4446		 0.22084		-10.4			0.5		2		3		0.25	1		2	LAM1987			298-2900
Al2(g)		25.767		6.399		-1.866		0.3566		-0.0299			59				1		2		3		-1.5	2		0	LAM1987			1000-3000
Al2O(g)		29.123		3.475		2.389		-1.4244		 0.21885		-17.5			1		2		3		-1		2		1	LAM1987			290-2900
Al2O2(g)	32.197		4.484		3.337		-1.9575		 0.2996			-47.5			1		2		3		-0.5	2		2	LAM1987			298-2900
SiO2(l)		2.12		7.6492		-1.2588		0.0998		 0				-109.53			1		1		2		0		1		2	LAM1987			1996-3000
Si(g)		19.039		3.32		-1.0484		0.2128		-0.0185			54.2			1		1		2		-1		1		0	LAM1987			1000-3000
SiO(g)		23.682		4.7876		-1.288		0.2291		-0.01797		-11.9			1		1		2		-0.5	1		1	LAM1987			1000-3000
SiO2(g)		24.696		7.467		-1.898		0.3194		-0.0238			-38.7			1		1		2		0		1		2	LAM1987			1000-3000
Si2(g)		25.52		5.589		-1.368		0.21		-0.01386		67.9			2		1		2		-2		2		0	LAM1987			1000-3000
Si2O2(g)	33.34		10.626		-2.86		0.509		-0.04			-43.22			2		1		2		-1		2		2	LAM1987			1000-3000
Si3(g)		29.042		9.14		-2.788		0.5832		-0.05276		74				3		1		2		-3		3		0	LAM1987			1000-3000
Na2O(l)		4.82		19.292		-5.267		0.623		 0				-50.17			1		2		1		0		2		1	LAM1984			825-3000
Na(g)		17.44		2.935		-0.708		0.079		 0				12.88			0.5		2		1		-0.25	1		0	LAM1984			800-3000
NaO(g)		25.75		4.932		-1.06		0.106		 0				12.58			0.5		2		1		0.25	1		1	LAM1984			1200-3000
Na2(g)		25.93		5.111		-1.101		0.103		 0				17.17			1		2		1		-0.5	2		0	LAM1984			1400-3000
Na2O(g)		28.65		7.801		-1.673		0.168		 0				-3.82			1		2		1		0		2		1	LAM1984			1200-3000
K2O(l)		0.8			18.889		-4.532		0.467		 0				-43.58			1		2		1		0		2		1	LAM1984			1190-3000
K(g)		18.43		2.624		-0.553		0.054		 0				10.73			0.5		2		1		-0.25	1		0	LAM1984			1400-3000
KO(g)		27.11		4.846		-1.027		0.1			 0				7.20			0.5		2		1		0.25	1		1	LAM1984			1000-3000
KO2(g)		29.4		6.937		-1.453		0.144		 0				0.60			1		2		1		-0.5	2		0	LAM1984			1200-3000
K2(g)		28.29		5.247		-1.247		0.127		 0				15.30			1		2		1		-0.5	2		0	LAM1984			1400-3000
K2O(g)		31.83		7.112		-1.465		0.141		 0				-7.05			1		2		1		0		2		1	LAM1984			1400-3000
FeO(l)		6.72		6.588		-1.248		0.150		-0.007697		-30.01			1		1		1		0		1		1	JANAF			1000-5000
Fe(g)		20.83		3.036		-0.708		0.097		-0.005304		49.97			1		1		1		-0.5	1		0	JANAF			1000-6000
FeO(g)		27.61		4.382		-0.937		0.121		-0.006372		30.19			1		1		1		0		1		1	JANAF			1000-6000
